Re,Pr,Nu
3000,0.1,7.86
3000,0.2,9.41
3000,0.5,12.65
3000,0.71,14.32
3000,1,16.22
3000,3,24.43
3000,5,29.56
3000,7.5,34.34
3000,10,38.16
3000,12.5,41.40
3000,15,44.23
3000,30,56.73
3000,50,67.98
3000,100,86.64
3000,200,110.11
3000,1000,190.70
5000,0.1,9.42
5000,0.2,11.86
5000,0.5,16.96
5000,0.71,19.60
5000,1,22.61
5000,3,35.57
5000,5,43.64
5000,7.5,51.15
5000,10,57.14
5000,12.5,62.20
5000,15,66.62
5000,30,86.09
5000,50,103.56
5000,100,132.44
5000,200,168.69
5000,1000,292.75
7500,0.1,11.13
7500,0.2,14.58
7500,0.5,21.81
7500,0.71,25.57
7500,1,29.86
7500,3,48.39
7500,5,59.94
7500,7.5,70.68
7500,10,79.24
7500,12.5,86.47
7500,15,92.78
7500,30,120.53
7500,50,145.36
7500,100,186.35
7500,200,237.71
7500,1000,413.17
10000,0.1,12.69
10000,0.2,17.08
10000,0.5,26.31
10000,0.71,31.12
10000,1,36.61
10000,3,60.47
10000,5,75.36
10000,7.5,89.21
10000,10,100.25
10000,12.5,109.56
10000,15,117.70
10000,30,153.40
10000,50,185.32
10000,100,237.96
10000,200,303.83
10000,1000,528.61
30000,0.1,22.76
30000,0.2,33.53
30000,0.5,56.55
30000,0.71,68.78
30000,1,82.91
30000,3,145.31
30000,5,184.68
30000,7.5,221.38
30000,10,250.64
30000,12.5,275.31
30000,15,296.85
30000,30,391.25
30000,50,475.39
30000,100,613.70
30000,200,786.27
30000,1000,1373.01
50000,0.1,31.02
50000,0.2,47.23
50000,0.5,82.31
50000,0.71,101.16
50000,1,123.04
50000,3,220.65
50000,5,282.64
50000,7.5,340.53
50000,10,386.73
50000,12.5,425.71
50000,15,459.72
50000,30,608.73
50000,50,741.46
50000,100,959.44
50000,200,1231.01
50000,1000,2153.24
75000,0.1,40.20
75000,0.2,62.59
75000,0.5,111.63
75000,0.71,138.18
75000,1,169.15
75000,3,308.45
75000,5,397.43
75000,7.5,480.68
75000,10,547.14
75000,12.5,603.25
75000,15,652.22
75000,30,866.75
75000,50,1057.70
75000,100,1371.11
75000,200,1761.37
75000,1000,3085.03
100000,0.1,48.62
100000,0.2,76.78
100000,0.5,138.97
100000,0.71,172.84
100000,1,212.50
100000,3,391.85
100000,5,506.89
100000,7.5,614.66
100000,10,700.78
100000,12.5,773.51
100000,15,836.98
100000,30,1115.04
100000,50,1362.53
100000,100,1768.51
100000,200,2273.65
100000,1000,3986.35
300000,0.1,104.68
300000,0.2,172.57
300000,0.5,327.20
300000,0.71,413.35
300000,1,515.41
300000,3,987.68
300000,5,1295.71
300000,7.5,1586.18
300000,10,1818.99
300000,12.5,2015.88
300000,15,2187.81
300000,30,2941.80
300000,50,3612.61
300000,100,4711.28
300000,200,6076.39
300000,1000,10692.06
1000000,0.1,256.61
1000000,0.2,437.11
1000000,0.5,860.91
1000000,0.71,1102.29
1000000,1,1391.88
1000000,3,2764.63
1000000,5,3677.45
1000000,7.5,4544.73
1000000,10,5242.89
1000000,12.5,5834.61
1000000,15,6352.24
1000000,30,8624.88
1000000,50,10647.89
1000000,100,13959.35
1000000,200,18067.10
1000000,1000,31968.41
